Id,Longitude,Latitude,UF,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,ano,nome_municipio
1502202,-47.175126,-1.192442,PA,58.5,58.5,117,5741.637052,5741.637052,11483.274104,3,0.494493,0.504974,1725.585347,1,1991,Capanema
1502301,-47.062825,-1.746187,PA,41.5,41.5,83,3725.482732,3725.482732,7450.965464,3,0.482225,0.493875,775.229955,1,1991,Capitão Poço
1502400,-47.926643,-1.295757,PA,98.5,98.5,197,12369.8314535,12369.8314535,24739.662907,3,0.502237,0.51611,4483.494027,1,1991,Castanhal
1502509,-49.989319,-0.162437,PA,4.5,4.5,9,675.997251,675.997251,1351.994502,4,0.358311,0.368875,6.128798,1,1991,Chaves
1502608,-48.288728,-0.932091,PA,10.0,10.0,20,491.2532205,491.2532205,982.506441,3,0.475686,0.484447,145.370199,1,1991,Colares
1502707,-49.264501,-8.264864,PA,105.0,105.0,210,8939.729128,8939.729128,17879.458256,3,0.506087,0.519599,5753.461021,1,1991,Conceição do Araguaia
1502756,-47.949887,-1.984521,PA,19.0,19.0,38,1856.9669805,1856.9669805,3713.933961,3,0.471639,0.482777,139.179648,1,1991,Concórdia do Pará
1502772,-49.602214,-6.09682,PA,91.5,91.5,183,8747.3989375,8747.3989375,17494.797875,3,0.501956,0.514885,2302.978843,1,1991,Curionópolis
1502806,-49.791523,-1.809423,PA,8.5,8.5,17,1059.3215095,1059.3215095,2118.643019,3,0.475132,0.483816,218.097255,1,1991,Curralinho
1502905,-47.851265,-0.732496,PA,22.0,22.0,44,1749.100416,1749.100416,3498.200832,3,0.455514,0.470713,190.729804,1,1991,Curuçá
1502939,-47.555915,-4.290778,PA,60.0,60.0,120,3822.812698,3822.812698,7645.625396,3,0.481708,0.496251,823.352424,1,1991,Dom Eliseu
1503002,-56.745753,-2.172975,PA,6.0,6.0,12,333.82151,333.82151,667.64302,3,0.413101,0.430772,18.786529,1,1991,Faro
1503077,-47.045046,-1.931697,PA,23.0,23.0,46,1540.1534075,1540.1534075,3080.306815,3,0.475736,0.486414,262.948825,1,1991,Garrafão do Norte
1503101,-51.643696,-1.404918,PA,15.0,15.0,30,991.3207415,991.3207415,1982.641483,3,0.378169,0.39484,65.586719,1,1991,Gurupá
1503200,-47.622375,-1.124322,PA,26.0,26.0,52,2977.1336165,2977.1336165,5954.267233,3,0.483159,0.492242,266.188947,1,1991,Igarapé-Açu
1503309,-48.962299,-1.983116,PA,11.5,11.5,23,1905.9384985,1905.9384985,3811.876997,3,0.416667,0.435041,134.380539,1,1991,Igarapé-Miri
1503408,-47.913393,-1.426582,PA,10.0,10.0,20,445.6661335,445.6661335,891.332267,3,0.361368,0.373608,22.555039,1,1991,Inhangapi
1503507,-47.440756,-1.771475,PA,24.5,24.5,49,2700.016612,2700.016612,5400.033224,3,0.453856,0.469748,230.039178,1,1991,Irituia
